1	0
2	0
3	0
4	0
5	0
6	0
7	1
8	0
9	0
10	1
11	0
12	2
13	1
14	1
15	2
16	1
17	2
18	2
19	2
20	2
21	0
22	2
23	2
24	2
25	2
26	1
27	1
28	0
29	0
30	1
31	2
32	0
33	2
34	0
35	2
36	2
37	2
38	2
39	0
40	2
41	0
42	0
43	2
44	2
45	1
46	2
47	2
48	0
49	0
50	2
51	2
52	2
53	2
54	2
55	2
56	2
57	2
58	0
59	2
60	2
61	2
62	2
63	2
64	2
65	2
66	2
67	2
68	2
69	2
70	2
71	2
72	2
73	2
74	2
75	2
76	2
77	2
78	2
79	2
80	2
81	2
82	1
83	1
84	1
85	1
86	1
87	0
88	1
89	1
90	1
91	0
92	0
93	1
94	0
95	1
96	1
97	1
98	1
99	0
100	0
101	2
102	2
103	1
104	0
105	1
106	1
107	1
108	1
109	0
110	0
111	1
112	0
113	2
114	1
115	0
116	0
117	0
118	0
119	2
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	1
131	0
132	1
133	0
134	1
135	1
136	2
137	0
138	1
139	0
140	1
141	2
142	1
143	0
144	0
145	1
146	1
147	1
148	2
149	2
150	2
151	2
152	2
153	2
154	0
155	2
156	2
157	2
158	0
159	0
160	2
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
